Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
106;5700161512;"Journal of Consumer Culture";journal;"14695405, 17412900";1,229;Q1;58;83;111;4754;340;109;2,29;57,28;United Kingdom;Western Europe;"SAGE Publications Ltd";"2001-2021";"Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)"
107;11700154366;"Journal of Leadership and Organizational Studies";journal;"19397089, 15480518";1,227;Q1;47;41;92;3185;450;91;4,27;77,68;United States;Northern America;"SAGE Publications Inc.";"1996-1999, 2008-2021";"Business and International Management (Q1); Management Science and Operations Research (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1); Strategy and Management (Q1)"
108;18697;"Theory and Society";journal;"15737853, 03042421";1,227;Q1;81;46;103;4144;288;100;3,00;90,09;Netherlands;Western Europe;"Springer Netherlands";"1974-2021";"History (Q1); Sociology and Political Science (Q1)"
109;70397;"Evaluation";journal;"13563890, 14617153";1,224;Q1;54;31;96;1348;246;82;2,71;43,48;United Kingdom;Western Europe;"SAGE Publications Ltd";"1995-2021";"Development (Q1); Sociology and Political Science (Q1)"
110;21100889857;"Journal of Benefit-Cost Analysis";journal;"21522812, 21945888";1,219;Q1;11;21;70;1124;203;69;3,30;53,52;United Kingdom;Western Europe;"Cambridge University Press";"2011, 2018-2021";"Economics and Econometrics (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
111;29102;"Health and Place";journal;"13538292";1,216;Q1;121;196;488;12642;2444;478;4,81;64,50;United Kingdom;Western Europe;"Elsevier Ltd.";"1995-2021";"Geography, Planning and Development (Q1); Health (social science) (Q1); Life-span and Life-course Studies (Q1); Public Health, Environmental and Occupational Health (Q1); Sociology and Political Science (Q1)"
112;27364;"Population and Development Review";journal;"17284457, 00987921";1,213;Q1;101;49;122;2866;348;98;2,49;58,49;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1976-2021";"Demography (Q1); Development (Q1); Sociology and Political Science (Q1)"
113;5600155551;"International Political Sociology";journal;"17495687, 17495679";1,200;Q1;46;28;75;2475;293;72;2,55;88,39;United Kingdom;Western Europe;"Oxford University Press";"2008-2021";"Sociology and Political Science (Q1)"
114;23715;"Science Technology and Human Values";journal;"01622439, 15528251";1,200;Q1;79;112;142;6515;576;134;4,06;58,17;United States;Northern America;"SAGE Publications Inc.";"1976-2021";"Anthropology (Q1); Economics and Econometrics (Q1); Engineering (miscellaneous) (Q1); Human-Computer Interaction (Q1); Philosophy (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
115;16032;"Administration and Society";journal;"00953997, 15523039";1,187;Q1;66;102;191;6575;584;170;3,57;64,46;United States;Northern America;"SAGE Publications Inc.";"1969-2021";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
116;22915;"Journal of Economic Psychology";journal;"01674870";1,179;Q1;103;59;202;2915;565;196;2,68;49,41;Netherlands;Western Europe;"Elsevier";"1981-2021";"Applied Psychology (Q1); Economics and Econometrics (Q1); Sociology and Political Science (Q1)"
117;28007;"Security Dialogue";journal;"09670106";1,178;Q1;75;59;100;4102;387;94;3,38;69,53;United Kingdom;Western Europe;"SAGE Publications Ltd";"1970-1972, 1976-2021";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
118;24829;"Journal of Political Philosophy";journal;"14679760, 09638016";1,170;Q1;69;39;73;1088;194;69;1,94;27,90;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1993-2021";"Philosophy (Q1); Sociology and Political Science (Q1)"
119;15559;"American Politics Research";journal;"15523373, 1532673X";1,164;Q1;54;61;156;3297;368;156;2,01;54,05;United States;Northern America;"SAGE Publications Inc.";"1973-2021";"Sociology and Political Science (Q1)"
120;18699;"Theory, Culture and Society";journal;"02632764, 14603616";1,161;Q1;116;89;199;4859;543;193;2,83;54,60;United Kingdom;Western Europe;"SAGE Publications Ltd";"1982-2021";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
121;15039;"African Affairs";journal;"00019909, 14682621";1,152;Q1;73;33;88;2983;236;88;2,93;90,39;United Kingdom;Western Europe;"Oxford University Press";"1901-2021";"Geography, Planning and Development (Q1); Sociology and Political Science (Q1)"
122;22890;"Political Studies";journal;"00323217, 14679248";1,148;Q1;90;133;184;8500;553;183;3,06;63,91;United Kingdom;Western Europe;"SAGE Publications Ltd";"1953-2021";"Sociology and Political Science (Q1)"
123;147231;"International Review for the Sociology of Sport";journal;"10126902";1,142;Q1;61;98;165;5840;618;164;3,22;59,59;United Kingdom;Western Europe;"SAGE Publications Ltd";"1966-2002, 2004-2021";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Sports Science (Q2)"
124;18676;"Technology in Society";journal;"0160791X";1,138;Q1;58;327;375;24971;2879;374;7,82;76,36;United Kingdom;Western Europe;"Elsevier Ltd.";"1979-2021";"Business and International Management (Q1); Education (Q1); Human Factors and Ergonomics (Q1); Sociology and Political Science (Q1)"
125;5800175970;"Leadership";journal;"17427150, 17427169";1,134;Q1;49;53;120;3142;455;116;3,82;59,28;United Kingdom;Western Europe;"SAGE Publications Ltd";"2005-2021";"Sociology and Political Science (Q1); Strategy and Management (Q1)"
126;21100779233;"Journal of racial and ethnic health disparities";journal;"21968837";1,118;Q1;30;327;409;15268;1291;409;3,00;46,69;United States;Northern America;"Springer Nature";"2015-2021";"Anthropology (Q1); Health Policy (Q1); Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1); Sociology and Political Science (Q1)"
127;144821;"Language Policy";journal;"15684555";1,111;Q1;37;29;84;1733;225;81;2,36;59,76;Netherlands;Western Europe;"Springer Netherlands";"2004-2021";"Linguistics and Language (Q1); Sociology and Political Science (Q1)"
128;17409;"Poetics";journal;"0304422X";1,102;Q1;67;79;143;5347;334;140;1,92;67,68;Netherlands;Western Europe;"Elsevier";"1971-2021";"Communication (Q1); Cultural Studies (Q1); Linguistics and Language (Q1); Literature and Literary Theory (Q1); Sociology and Political Science (Q1)"
129;29849;"Journal of Accounting and Public Policy";journal;"02784254";1,095;Q1;82;55;97;3658;420;94;3,62;66,51;United States;Northern America;"Elsevier Inc.";"1982-2021";"Accounting (Q1); Sociology and Political Science (Q1)"
130;28011;"Security Studies";journal;"15561852, 09636412";1,064;Q1;53;32;88;0;220;88;2,41;0,00;United Kingdom;Western Europe;"Routledge";"1991-2021";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
131;22223;"Forest Policy and Economics";journal;"13899341";1,057;Q1;73;183;563;12694;2304;508;4,18;69,37;Netherlands;Western Europe;"Elsevier";"2000-2021";"Forestry (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1); Economics and Econometrics (Q2)"
132;100147345;"Journal of Sociolinguistics";journal;"13606441, 14679841";1,035;Q1;57;49;85;2680;170;78;1,74;54,69;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2004-2021";"History and Philosophy of Science (Q1); Linguistics and Language (Q1); Philosophy (Q1); Sociology and Political Science (Q1)"
133;28082;"South European Society and Politics";journal;"13608746, 17439612";1,031;Q1;44;14;76;895;327;71;2,83;63,93;United Kingdom;Western Europe;"Routledge";"1996-2021";"Sociology and Political Science (Q1)"
134;30086;"Journal of Social and Personal Relationships";journal;"02654075";1,022;Q1;90;204;423;10795;1316;420;2,64;52,92;United Kingdom;Western Europe;"SAGE Publications Ltd";"1984-2021";"Communication (Q1); Developmental and Educational Psychology (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)"
135;29643;"Urban Affairs Review";journal;"10780874";1,018;Q1;76;100;164;6966;531;158;2,85;69,66;United States;Northern America;"SAGE Publications Inc.";"1965-2021";"Sociology and Political Science (Q1); Urban Studies (Q1)"
136;20537;"Journal of Behavioral Decision Making";journal;"08943257, 10990771";1,013;Q1;79;60;143;3619;399;142;2,99;60,32;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1988-2021";"Arts and Humanities (miscellaneous) (Q1); Decision Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Strategy and Management (Q1); Applied Psychology (Q2)"
137;13448;"Comparative Politics";journal;"00104159, 21516227";1,011;Q1;68;4;86;319;202;85;2,11;79,75;United States;Northern America;"City University of New York";"1978, 1987-1989, 1996-2021";"Sociology and Political Science (Q1)"
138;21100870585;"Environmental Sociology";journal;"23251042";1,010;Q1;21;44;108;2743;405;103;2,89;62,34;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2015-2021";"Ecology (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1)"
139;5700161511;"Social Movement Studies";journal;"14742837";1,007;Q1;36;93;134;4997;433;127;2,92;53,73;United Kingdom;Western Europe;"Routledge";"2010-2021";"Cultural Studies (Q1); Sociology and Political Science (Q1)"
140;26441;"Social Science Research";journal;"10960317, 0049089X";1,006;Q1;97;84;319;6392;950;319;2,69;76,10;United States;Northern America;"Academic Press Inc.";"1972-2021";"Education (Q1); Sociology and Political Science (Q1)"
141;19774;"International Journal of Public Opinion Research";journal;"14716909, 09542892";1,000;Q1;58;62;99;2620;266;98;2,09;42,26;United Kingdom;Western Europe;"Oxford University Press";"1989-2021";"Sociology and Political Science (Q1)"
142;27944;"Review of International Studies";journal;"14699044, 02602105";0,991;Q1;76;46;137;3565;420;133;2,62;77,50;United Kingdom;Western Europe;"Cambridge University Press";"1976, 1981-2021";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
143;25561;"Futures";journal;"00163287";0,970;Q1;86;137;301;8699;1160;299;4,06;63,50;United Kingdom;Western Europe;"Elsevier Ltd.";"1968-2021";"Business and International Management (Q1); Development (Q1); Sociology and Political Science (Q1)"
144;26124;"Ethnic and Racial Studies";journal;"01419870, 14664356";0,968;Q1;101;205;527;10083;1357;505;2,30;49,19;United Kingdom;Western Europe;"Routledge";"1978-2021";"Anthropology (Q1); Cultural Studies (Q1); Sociology and Political Science (Q1)"
145;17591;"Law and Society Review";journal;"00239216, 15405893";0,966;Q1;78;24;109;1750;252;92;2,23;72,92;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1977-1979, 1983, 1985, 1987, 1996-2021";"Law (Q1); Sociology and Political Science (Q1)"
146;18062;"Sociologia Ruralis";journal;"14679523, 00380199";0,962;Q1;90;42;127;3088;545;126;4,00;73,52;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1960, 1962-2021";"Sociology and Political Science (Q1)"
147;4000149603;"Political Studies Review";journal;"14789299, 14789302";0,961;Q1;30;98;105;4298;372;103;3,91;43,86;United Kingdom;Western Europe;"SAGE Publications Ltd";"2006-2021";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
148;17508;"Social Development";journal;"14679507, 0961205X";0,960;Q1;97;93;197;6114;522;197;2,49;65,74;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1992-2021";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Developmental and Educational Psychology (Q2)"
149;23144;"Language in Society";journal;"14698013, 00474045";0,958;Q1;67;50;90;3030;250;86;2,82;60,60;United Kingdom;Western Europe;"Cambridge University Press";"1972-2021";"Linguistics and Language (Q1); Sociology and Political Science (Q1)"
150;5600153974;"Policing and Society";journal;"10439463";0,956;Q1;44;109;216;7322;635;204;2,53;67,17;United Kingdom;Western Europe;"Routledge";"1990-2003, 2005-2021";"Law (Q1); Sociology and Political Science (Q1)"
151;26587;"Studies in Comparative International Development";journal;"00393606, 19366167";0,953;Q1;55;26;67;1851;176;67;2,70;71,19;United States;Northern America;"Springer New York";"1965-1970, 1972-2021";"Development (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
152;13344;"Social Psychology of Education";journal;"15731928, 13812890";0,946;Q1;55;78;194;5456;627;194;2,87;69,95;Netherlands;Western Europe;"Springer Netherlands";"1996-2021";"Education (Q1); Social Psychology (Q1); Sociology and Political Science (Q1); Developmental and Educational Psychology (Q2)"
153;19634;"Crime and Justice";book series;"21530416, 01923234";0,945;Q1;44;10;34;1548;120;10;3,21;154,80;United States;Northern America;"University of Chicago";"2004-2021";"Sociology and Political Science (Q1)"
154;20369;"Journal of Family Violence";journal;"08857482, 15732851";0,940;Q1;82;155;214;8465;821;213;4,06;54,61;United States;Northern America;"Springer New York";"1986-2021";"Clinical Psychology (Q1); Law (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
155;4000151818;"Mobilization";journal;"1086671X";0,933;Q1;44;25;82;1847;166;81;1,44;73,88;United States;Northern America;"San Diego State University";"2005-2020";"Sociology and Political Science (Q1); Transportation (Q2)"
156;13936;"Journal of Urban Affairs";journal;"07352166, 14679906";0,932;Q1;63;148;233;9980;669;226;2,81;67,43;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1979-2021";"Geography, Planning and Development (Q1); Sociology and Political Science (Q1); Urban Studies (Q1)"
157;23439;"Politics and Society";journal;"00323292, 15527514";0,930;Q1;75;32;69;0;210;68;2,58;0,00;United States;Northern America;"SAGE Publications Inc.";"1970-1990, 1992-2021";"Political Science and International Relations (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
158;21100899442;"Comparative Migration Studies";journal;"2214594X";0,929;Q1;21;58;130;3336;439;100;3,11;57,52;Switzerland;Western Europe;"SpringerOpen";"2013-2021";"Demography (Q1); Geography, Planning and Development (Q1); Law (Q1); Sociology and Political Science (Q1); Statistics, Probability and Uncertainty (Q2)"
159;100147030;"Current Sociology";journal;"00113921, 14617064";0,928;Q1;71;131;184;7145;530;177;2,82;54,54;United Kingdom;Western Europe;"SAGE Publications Ltd";"1952-1965, 1967-1969, 1972-1984, 1986-2021";"Sociology and Political Science (Q1)"
160;19700170417;"Journal of Information Technology and Politics";journal;"19331681, 1933169X";0,927;Q1;42;49;78;2718;249;72;3,00;55,47;United States;Northern America;"Routledge";"2008-2021";"Computer Science (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
161;14573;"Social Policy and Administration";journal;"01445596, 14679515";0,925;Q1;66;100;230;5659;740;225;2,63;56,59;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1967-2021";"Development (Q1); Public Administration (Q1); Social Work (Q1); Sociology and Political Science (Q1)"
162;13854;"Housing Studies";journal;"14661810, 02673037";0,921;Q1;79;159;266;10198;894;262;2,82;64,14;United Kingdom;Western Europe;"Routledge";"1986-2021";"Environmental Science (miscellaneous) (Q1); Sociology and Political Science (Q1); Urban Studies (Q1)"
163;16842;"Qualitative Sociology";journal;"01620436, 15737837";0,921;Q1;59;33;86;1729;214;83;2,74;52,39;United States;Northern America;"Springer New York";"1978-2021";"Sociology and Political Science (Q1)"
164;25675;"Journal of Early Adolescence";journal;"15525449, 02724316";0,917;Q1;73;63;160;3921;483;157;2,73;62,24;United States;Northern America;"SAGE Publications Inc.";"1981-2021";"Life-span and Life-course Studies (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Developmental and Educational Psychology (Q2)"
